Note:
1. The entire code for the evaluation tasks has been written by me. 
2. Used the scripts in the 'examples' folder of SentEval to make the modified script.
3. Missing dataset : 'TREC'
4. Apart from the tasks 10.1, 10.2, 10.3 and 10.4, I also computed my evaluation on tasks : 'Length', 'WordContent', 'Depth', 'TopConstituents', 'BigramShift', 'Tense', 'SubjNumber', 'ObjNumber', 'OddManOut', 'CoordinationInversion'
5. Parameters: 
	1. Logistic Regression Classifier
	2. Optmizer : 'rmsprop'
	3. Batch Size : 128
	4. Tenacity : 3
	5. Number of Epopchs : 2
6. All the tests were ran on HPC. However, the comparison tests with google universal sentence encoder were ran locally on PC.

#-----------------------------------------------------------------------------------------------------------------------#
Scores on the evaluations tasks:

#-----------------------------------------------------------------------------------------------------------------------#
2018-10-17 23:27:24,457 : ***** Transfer task : MR *****


2018-10-17 23:27:24,485 : Generating sentence embeddings
2018-10-17 23:27:24,633 : Generated sentence embeddings
2018-10-17 23:27:24,636 : Training pytorch-MLP-nhid0-rmsprop-bs128 with (inner) 5-fold cross-validation
2018-10-17 23:27:24,928 : Best param found at split 1: l2reg = 0.01                 with score 58.67
2018-10-17 23:27:25,252 : Best param found at split 2: l2reg = 1e-05                 with score 62.58
2018-10-17 23:27:25,569 : Best param found at split 3: l2reg = 0.01                 with score 66.21
2018-10-17 23:27:25,889 : Best param found at split 4: l2reg = 1e-05                 with score 63.33
2018-10-17 23:27:26,200 : Best param found at split 5: l2reg = 0.01                 with score 60.0
2018-10-17 23:27:26,219 : Dev acc : 62.16 Test acc : 54.08

#-----------------------------------------------------------------------------------------------------------------------#
2018-10-17 23:26:49,155 : ***** Transfer task : CR *****


2018-10-17 23:26:49,206 : Generating sentence embeddings
2018-10-17 23:26:53,466 : Generated sentence embeddings
2018-10-17 23:26:53,469 : Training pytorch-MLP-nhid0-rmsprop-bs128 with (inner) 5-fold cross-validation
2018-10-17 23:27:02,622 : Best param found at split 1: l2reg = 0.001                 with score 68.53
2018-10-17 23:27:08,061 : Best param found at split 2: l2reg = 0.01                 with score 69.1
2018-10-17 23:27:14,046 : Best param found at split 3: l2reg = 0.0001                 with score 70.03
2018-10-17 23:27:19,191 : Best param found at split 4: l2reg = 0.01                 with score 67.83
2018-10-17 23:27:24,171 : Best param found at split 5: l2reg = 1e-05                 with score 69.64
2018-10-17 23:27:24,454 : Dev acc : 69.03 Test acc : 67.76

#-----------------------------------------------------------------------------------------------------------------------#
2018-10-17 23:31:55,513 : ***** Transfer task : SUBJ *****


2018-10-17 23:31:55,757 : Generating sentence embeddings
2018-10-17 23:32:01,051 : Generated sentence embeddings
2018-10-17 23:32:01,054 : Training pytorch-MLP-nhid0-rmsprop-bs128 with (inner) 5-fold cross-validation
2018-10-17 23:32:06,674 : Best param found at split 1: l2reg = 0.001                 with score 99.6
2018-10-17 23:32:12,440 : Best param found at split 2: l2reg = 0.001                 with score 99.6
2018-10-17 23:32:18,169 : Best param found at split 3: l2reg = 0.001                 with score 99.6
2018-10-17 23:32:24,375 : Best param found at split 4: l2reg = 0.001                 with score 99.6
2018-10-17 23:32:30,171 : Best param found at split 5: l2reg = 0.001                 with score 99.6
